Code UAI;Nom;Adresse;Code postal;Ville;Catégorie;Téléphone;Email du chef d’établissement
0783636d;Camille du Gast;188 avenue du Général de Gaulle;78260;Achères;;01 34 01 22 00;ce.0783636d@ac-versailles.fr
0783248g;Jean Lurçat;19 rue G. Bourgoin;78260;Achères;;01 39 11 01 06;ce.0783248g@ac-versailles.fr
0780506b;Arthur Rimbaud;Rue du Bois Tonnerre;78410;Aubergenville;;01 30 95 80 17;ce.0780506b@ac-versailles.fr
0780707v;Marcel Pagnol;Rue Marcel Pagnol;78270;Bonnières-sur-Seine;;01 30 98 98 38;ce.0780707v@ac-versailles.fr
0781817b;Claude Monet;1 place Claude Monet;78955;Carrières-sous-Poissy;;01 39 74 43 28;ce.0781817b@ac-versailles.fr
0780032l;Flora Tristan;595 rue Pasteur;78955;Carrières-sous-Poissy;REP;01 30 06 32 70;ce.0780032l@ac-versailles.fr
0780033m;Les Amandiers;1 allée du Collège;78420;Carrières-sur-Seine;;01 39 14 25 55;ce.0780033m@ac-versailles.fr
0781986k;Magellan;33 bis avenue de Poissy;78570;Chanteloup-les-Vignes;REP;01 39 74 03 72;ce.0781986k@ac-versailles.fr
0781108f;René Cassin;12 rue des Petits Pas;78570;Chanteloup-les-Vignes;REP+;01 39 74 57 35;ce.0781108f@ac-versailles.fr
0780507c;Auguste Renoir;71 rue Auguste Renoir;78400;Chatou;;01 30 71 50 67;ce.0780507c@ac-versailles.fr
0781511u;La Mare aux Saules;14 rue du Moulin à Vent;78310;Coignières;;01 30 05 00 60;ce.0781511u@ac-versailles.fr
0780183a;Montaigne;77 rue de Pierrefitte;78700;Conflans-Ste-Honorine;;01 39 19 70 68;ce.0780183a@ac-versailles.fr
0781915h;Léonard de Vinci;9 rue des Sablons;78920;Ecquevilly;;01 34 75 51 51;ce.0781915h@ac-versailles.fr
0780856g;De l'Agiot;Avenue de la Frise BP 44;78990;Elancourt;;01 30 51 16 18;ce.0780856g@ac-versailles.fr
0782114z;La Clé St Pierre;5 rue de Dublin;78990;Elancourt;;01 30 68 15 30;ce.0782114z@ac-versailles.fr
0780185c;René Descartes;2 rue Descartes;78330;Fontenay-le-Fleury;;01 30 14 90 50;ce.0780185c@ac-versailles.fr
0783464s;De la Montcient;Allée des Aulnes;78250;Gaillon-sur-Montcient;;01 30 04 16 30;ce.0783464s@ac-versailles.fr
0780758a;Albert Camus;Avenue Albert Camus;78440;Gargenville;;01 34 97 19 70;ce.0780758a@ac-versailles.fr
0783378y;Ariane;1 place des Frères Voisins;78280;Guyancourt;;01 39 30 16 70;ce.0783378y@ac-versailles.fr
0781695u;Les Saules;Boulevard Paul Cézanne;78280;Guyancourt;;01 30 43 29 07;ce.0781695u@ac-versailles.fr
0780581h;Paul Eluard;2 rue des Graviers;78280;Guyancourt;;01 30 43 72 20;ce.0780581h@ac-versailles.fr
0780504z;Louis Pasteur;30 avenue de Circourt;78170;La Celle-St-Cloud;;01 39 69 47 27;ce.0780504z@ac-versailles.fr
0780036r;Victor Hugo;52 avenue des Etangs;78170;La Celle-St-Cloud;;01 30 78 24 90;ce.0780036r@ac-versailles.fr
0780512h;Philippe de Champaigne;4 avenue de Breteuil;78320;Le Mesnil-St-Denis;;01 34 61 92 66;ce.0780512h@ac-versailles.fr
0783215w;Jean Moulin;11 quai du 8 mai 1945;78230;Le Pecq;;01 39 10 11 88;ce.0783215w@ac-versailles.fr
0780263m;Pierre et Marie Curie;62 avenue P et M Curie;78230;Le Pecq;;01 39 76 84 86;ce.0780263m@ac-versailles.fr
