ACADEMIE;N°Département;DEPARTEMENT;COMMUNE;UAI tête de réseau;NUMERO;NOM DE L'ETABLISSEMENT;TYPE_DETABLISSEMENT;EP;circonscription ;contact collège ou circonscription 
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;ARLES;0132572A;0132572A;AMPERE;COLLEGE;REP+;;ce.0132572A@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;ARLES;0132572A;0130303J;ALYSCAMPS;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN ARLES;ce.0131313G@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;ARLES;0132572A;0130319B;MARIE CURIE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN ARLES;ce.0131313G@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;ARLES;0132572A;0132474U;PAUL LANGEVIN;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN ARLES;ce.0131313G@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;ARLES;0132572A;0132536L;HENRI WALLON;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN ARLES;ce.0131313G@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;ARLES;0132572A;0130337W;ALYSCAMPS;ECOLE MATERNELLE;REP+;IEN ARLES;ce.0131313G@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;ARLES;0132572A;0130341A;JEAN BUON;ECOLE MATERNELLE;REP+;IEN ARLES;ce.0131313G@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;ARLES;0132572A;0132448R;LES BARTAVELLES;ECOLE MATERNELLE;REP+;IEN ARLES;ce.0131313G@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;ARLES;0132572A;0132553E;LES CANTARELLES;ECOLE MATERNELLE;REP+;IEN ARLES;ce.0131313G@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 02;0130136C;0130136C;VIEUX PORT;COLLEGE;REP+;;ce.0130136C@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 02;0130136C;0130569Y;FRANCOIS MOISSON;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 02;0130136C;0130867X;DES DAMES;ECOLE MATERNELLE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 02;0130136C;0130896D;MOULINS;ECOLE MATERNELLE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 02;0130136C;0133093S;BUTTE DES CARMES;ECOLE MATERNELLE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 02;0130136C;0133898S;REPUBLIQUE-MOISSON;ECOLE MATERNELLE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 02;0133788X;0133788X;JEAN CLAUDE IZZO;COLLEGE;REP+;;ce.0133788X@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 02;0133788X;0130574D;HOZIER;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 02;0133788X;0130741K;CATHEDRALE DE LA MAJOR;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 02;0133788X;0130827D;VINCENT LEBLANC;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 02;0133788X;0133998A;CHEVALIER PAUL;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 02;0133788X;0130872C;L'EVECHE;ECOLE MATERNELLE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 02;0133788X;0130957V;VINCENT LEBLANC;ECOLE MATERNELLE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 02;0133788X;0133355B;MONTOLIEU;ECOLE MATERNELLE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 02;0133788X;0133819F;DESIREE CLARY;ECOLE MATERNELLE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131264D;0131264D;VERSAILLES;COLLEGE;REP+;;ce.0131264D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131264D;0130566V;FELIX PYAT;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131264D;0130735D;KLEBER;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131264D;0131537A;PEYSSONNEL 1;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131264D;0131538B;PEYSSONNEL 2;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131264D;0134320A;ANTOINE DE RUFFI;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131264D;0134326G;ANTOINE DE RUFFI;ECOLE MATERNELLE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
